"","actbillscc1","actbillscc10","actbillscc11","actbillscc2","actbillscc3","actbillscc4","actbillscc5","actbillscc6","actbillscc7","actbillscc8","actbillscc9","age","age_grp","billscc","brrise","desavebcs1","desavebcs2","desavebcs3","desavebcs4","desavebcs5","desavebcs6","dfihhyr","dfihhyrchg","fihhyr2","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc_likact1","fisc_likact2","fisc_likact3","fisc_likact4","fisc_likact5","fisc_likact6","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act5","fisc11_act6","fisc11_conc1","fisc11_conc2","fisc11_conc3","fisc11_conc4","fisc11_conc5","fisc11_conc6","fisc11_conc7","fisc11_conc8","forebeareffsec","forebeareffunsec","forebearsec1","forebearsec2","forebearsec3","forebearsec4","forebearsec5","forebearsec6","forebearsec7","forebearsec8","forebearunsec1","forebearunsec2","forebearunsec3","forebearunsec4","forebearunsec5","hscntcr1","hscntcr2","hscrchg","hsval","huresp","intmg","jbstat","mastat","mg1tot","nvesttot","pubsecty","region","saveamount","savebcs1","savebcs10","savebcs11","savebcs12","savebcs13","savebcs2","savebcs3","savebcs4","savebcs5","savebcs6","savebcs7","savebcs8","savebcs9","savingch","sex","soc","subsid","tenure","uncert","uncertch","us","usa","usb","usc","usd","use","usg","ush","usi","usj","ustot","weight","xphpdf","xphsdf","xpmg","xpus"
"796","no","no","no","no","no","no","no","yes","yes","no","no",26,"25 - 34","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£200-£299","down £50-£100","£25,000-£29,999","no","yes","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","yes","no","yes","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","not applicable","not applicable","no","not applicable","unemployed","marrried or couple","not applicable","£5,000 - £5,999","no","South West","£25-£49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","D",22189395,"Owned mortgage","vague idea","less certain","yes","no","no","yes","no","no","no","yes","no","no","don't know",0.760706029,"somewhat","no","not applicable","don't know"
"797","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",39,"35 - 44","don't know",NA,NA,NA,NA,NA,NA,NA,"£1,800-£1,999","no change","£75,000-£99,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no",NA,NA,"Refused","Refused","Refused","Refused","Refused","Refused","Refused","Refused","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","£400,000-£449,999","yes","fixed","in paid employ","marrried or couple","£150,000-£169,999","£4,000 - £4,999","don't know","West Midlands","£900-£999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","A",22207448,"Owned mortgage","don't know","don't know","yes","no","no","yes","no","no","no","no","no","no","£500-£999",1.30289434,"no","don't know","£1,000-£1,249",">=£500"
"798","no","no","no","no","no","no","no","yes","no","no","no",43,"35 - 44","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£11,500-£13,499","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","yes","no","not applicable",NA,"yes","not applicable",NA,"never married","not applicable","None","no","East Anglia","none","no","no","no","yes","no","no","no","no","no","no","no","no","no","Increase by £50-£99 a month","Female","E",22211793,"Owned outright","vague idea","more certain","yes","no","no","yes","no","no","no","no","no","no","£3,000-£3,499",0.674960091,"somewhat","no","not applicable","£200-£219"
"799","no","no","no","no","no","no","no","yes","yes","no","no",58,"55 - 64","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"£1,400-£1,599","down <£50","£17,500-£24,999","no","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable",NA,"yes","not applicable","in paid employ","marrried or couple","not applicable","refused","no","North","£900-£999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","C2",22218617,"Owned outright","no idea","no change","yes","no","no","no","yes","no","no","no","no","yes","<£200",0.939253399,"no","no","not applicable","£40-£49"
"800","no","no","no","no","no","no","no","no","no","no","yes",28,"25 - 34","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£400-£499","no change","£17,500-£24,999","no","no","no","no","no","yes","no","no","yes","no","yes","yes","no","no",NA,NA,NA,NA,NA,NA,"no","no","no","yes","no","no","no","no",NA,NA,"Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","no","no","no","no","yes","yes","don't know","don't know","£100,000-£124,999","yes","don't know","in paid employ","marrried or couple","£50,000-£59,999","don't know","no","East Anglia","£200-£249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","D",22228874,"Owned mortgage","vague idea","less certain","yes","no","no","yes","no","no","no","no","no","no","don't know",0.736009349,"no","no","don't know","don't know"
"801","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",27,"25 - 34","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£1,200-£1,399","up £50-£100","£40,000-£49,999","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","the same",NA,"yes","not applicable","unemployed","never married","not applicable","£5,000 - £5,999","no","Scotland","£100-£149","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","Increase by £150-£199 a month","Male","C2",22230233,"Owned outright","good idea","no change","yes","yes","no","yes","no","no","no","no","no","no","£8,500-£8,999",0.980759706,"no","no","not applicable","£220-£239"
"802","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",34,"25 - 34","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£200-£299","no change","£30,000-£39,999","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no","Dont know","I would be up to date with my loan payments, without much struggle.","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","don't know","£200,000-£224,999","yes","fixed","in paid employ","marrried or couple","£150,000-£169,999","None","no","South East","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C1",22232396,"Owned mortgage","vague idea","no change","yes","no","no","yes","yes","no","no","no","no","yes","don't know",0.83888326,"no","no","£850-£899","<£10"
"803","no","no","no","no","no","no","no","yes","yes","no","no",57,"55 - 64","keeping up, constant struggle",NA,"yes","yes","no","no","no","no","£300-£399","down >£100","£25,000-£29,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,"I would be behind on my loan payments","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","yes","harder","£150,000-£174,999","yes","fixed","long-term sick/disab","marrried or couple","£20,000-£29,999","£6,000 - £6,999","no","Scotland","£25-£49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £150-£199 a month","Male","C1",22232856,"Owned mortgage","vague idea","less certain","yes","no","yes","yes","no","no","no","no","no","no","£3,000-£3,499",0.971969131,"somewhat","no","£400-£449","£140-£159"
"804","no","no","no","no","no","no","no","no","no","no","yes",74,"65+","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"refused","down £50-£100","refused","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","refused","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","refused","no","North West","don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","B",22237955,"Owned outright","vague idea","less certain","yes","no","no","yes","no","no","no","no","no","no","refused",1.08870978,"somewhat","no","not applicable","don't know"
"805","no","no","no","no","no","no","no","yes","yes","no","no",18,"18 - 24","keeping up, constant struggle",NA,"no","yes","no","no","no","no","£400-£499","down >£100","£40,000-£49,999","no","no","no","no","no","yes","no","no","yes","no","yes","yes","no","no",NA,NA,NA,NA,NA,NA,"no","yes","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","yes","no","harder","not applicable","not applicable","not applicable","FT student","never married","not applicable","£1,000 - £1,999","no","Wales","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by less than £50 a month","Female","C2",22238665,"Private rented","vague idea","no change","yes","no","no","no","no","no","no","no","yes","no","£4,000-£4,499",1.08517935,"somewhat","no","not applicable","£20-£29"
"806","no","no","no","yes","no","no","no","no","no","no","no",22,"18 - 24","keeping up, struggle from time to time",NA,"yes","no","no","no","no","no","600-£699","down <£50","£17,500-£24,999","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","I would be up to date with my mortgage payments, without much struggle.","I would be up to date with my loan payments, but it would be a struggle","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","harder","£150,000-£174,999","yes","fixed","in paid employ","never married","£50,000-£59,999","£5,000 - £5,999","yes","East Midlands","150-£199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £50-£99 a month","Male","D",22238715,"Owned mortgage","vague idea","less certain","yes","yes","no","no","no","no","no","no","no","no","£3,000-£3,499",0.94372426,"heavy","yes","£350-£399","£40-£49"
"807","no","yes","no","no","no","no","no","no","no","no","no",29,"25 - 34","keeping up, struggle from time to time",NA,"yes","no","yes","no","no","no","£1,600-£1,799","down >£100","£30,000-£39,999","no","no","yes","yes","no","no","no","no","yes","no","yes","yes","no","no","yes","no","yes","no","no","no","no","yes","no","yes","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","the same","£100,000-£124,999","yes","fixed","in paid employ","marrried or couple","£60,000-£69,999","£2,000 - £2,999","yes","North West","£200-£249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £300 or more a month","Male","B",22242332,"Owned mortgage","no idea","less certain","yes","no","no","yes","no","no","no","no","no","no","<£200",1.14743004,"no","no","£450-£499","<£10"
"808","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",67,"65+","keeping up without much difficulty",NA,"no","no","no","yes","no","yes","£900-£999","down <£50","£17,500-£24,999","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","refused","no","North West","£450-£499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £50-£99 a month","Female","C1",22243456,"Owned outright","vague idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",0.892422511,"not applicable","no","not applicable","not applicable"
"809","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",64,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£700-£799","down <£50","£17,500-£24,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","£50,000 - £74,999","no","West Midlands","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","E",22246629,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.831413,"not applicable","no","not applicable","not applicable"
"810","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",43,"35 - 44","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"600-£699","down >£100","£75,000-£99,999","no","no","yes","no","yes","no","no","no","don't know","don't know","don't know","don't know","don't know","don't know","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","the same","£200,000-£224,999","yes","fixed","in paid employ","marrried or couple","£130,000-£149,999","refused","no","Scotland","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","B",22247231,"Owned mortgage","good idea","no change","yes","no","no","yes","no","no","no","no","no","no","<£200",1.16680053,"no","no","£1,000-£1,249","<£10"
"811","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",29,"25 - 34","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£1,000-£1,199","no change","£25,000-£29,999","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","the same",NA,"yes","not applicable","in paid employ","never married","not applicable","£15,000 - £17,499","no","Yorkshire & Humberside","150-£199","no","no","yes","no","no","no","no","no","no","no","yes","no","no","Increase by £100-£149 a month","Male","B",22251272,"Owned outright","good idea","no change","yes","no","no","no","no","no","no","yes","no","no","<£200",1.0884838,"no","no","not applicable","<£10"
"812","no","no","no","no","no","no","no","yes","no","no","no",18,"18 - 24","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£800-£899","down £50-£100","£11,500-£13,499","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","harder","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","refused","no","East Anglia","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C2",22253440,"Local authority rented","no idea","no change","yes","no","yes","no","no","no","no","no","no","no","£200-£499",0.940503843,"no","no","not applicable","£20-£29"
"813","no","no","no","no","no","no","no","yes","no","no","no",33,"25 - 34","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£200-£299","down >£100","£30,000-£39,999","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","the same","£175,000-£199,999","yes","fixed","in paid employ","marrried or couple","£30,000-£39,999","£2,000 - £2,999","no","Yorkshire & Humberside","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C2",22254327,"Owned mortgage","no idea","less certain","yes","yes","no","yes","no","no","no","no","no","yes","£4,000-£4,499",0.845938147,"somewhat","no","£300-£349","£200-£219"
"814","yes","yes","no","no","no","no","no","yes","no","no","no",31,"25 - 34","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£30,000-£39,999","no","no","no","no","no","yes","no","no","yes","no","yes","yes","no","no",NA,NA,NA,NA,NA,NA,"no","yes","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","yes","yes","harder","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","<£500","no","South East","<=25","no","no","yes","yes","no","no","no","no","no","no","no","yes","no","Increase by less than £50 a month","Female","C1",22256618,"Private rented","vague idea","less certain","yes","no","yes","yes","no","no","no","yes","yes","no","£15,000-£19,999",0.950982269,"heavy","yes","not applicable","£200-£219"
"815","no","no","no","no","no","no","no","no","no","no","yes",70,"65+","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"refused","down £50-£100","refused","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","the same","£250,000-£274,999","yes","fixed","in paid employ","widowed/divorced/separated","£130,000-£149,999","refused","yes","South East","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"refused","Female","E",22270055,"Owned mortgage","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.833248655,"not applicable","no","£800-£849","not applicable"
"816","no","yes","no","no","no","no","no","no","yes","no","no",21,"18 - 24","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£15,500-£17,499","no","yes","no","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","I would be behind on my mortgage payments by less than 6 months of payments","I would be behind on my loan payments","no","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","don't know","£125,000-£149,999","yes","fixed","in paid employ","never married","£110,000-£129,999","£3,000 - £3,999","don't know","West Midlands","<=25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","D",22279238,"Owned mortgage","no idea","less certain","yes","yes","yes","yes","yes","no","no","no","yes","yes","£10,000-£14,999",0.840646159,"heavy","yes","£300-£349","£180-£199"
"817","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",23,"18 - 24","don't know",NA,NA,NA,NA,NA,NA,NA,"don't know","don't know","refused","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","refused","not applicable","not applicable","not applicable","not applicable",NA,"never married","not applicable","None","no","Greater London","don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"refused","Male","E",22286811,"Other/Don't know/refused","don't know","don't know","no","no","no","no","no","no","no","no","no","no","not applicable",1.09103109,"not applicable","don't know","not applicable","not applicable"
"818","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",61,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£300-£399","down <£50","£40,000-£49,999","no","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","£75,000 - £99,999","no","North","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","E",22289284,"Owned outright","good idea","no change","yes","no","no","yes","no","no","no","no","no","no","£500-£999",0.762596682,"no","no","not applicable",">=£500"
"819","no","no","no","no","no","no","no","no","no","no","yes",36,"35 - 44","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£1,600-£1,799","no change","£17,500-£24,999","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","don't know","don't know","don't know","don't know","don't know","no","the same",NA,"yes","not applicable","in paid employ","widowed/divorced/separated","not applicable","£9,000 - £9,999","no","South West","150-£199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C2",22292232,"Owned outright","don't know","less certain","yes","no","yes","no","no","no","no","no","no","no","£3,000-£3,499",1.00197731,"no","no","not applicable","£50-£59"
"820","no","no","no","no","no","no","no","yes","no","no","no",62,"55 - 64","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"don't know","down >£100","refused","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"refused","refused","refused","refused","refused","refused","no","the same","not applicable","not applicable","not applicable","retired","marrried or couple","not applicable","refused","no","North West","refused",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","E",22295286,"Private rented","vague idea","more certain","yes","no","no","no","yes","no","no","no","no","no","£1,000-£1,499",0.811779651,"no","no","not applicable","£70-£79"
"821","no","no","no","no","no","no","no","yes","yes","no","no",44,"35 - 44","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£400-£499","down £50-£100","£30,000-£39,999","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","yes","yes","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","not applicable","£225,000-£249,999","yes","fixed","long-term sick/disab","marrried or couple","£30,000-£39,999","£25,000 - £29,999","yes","North West","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","B",22301867,"Owned mortgage","vague idea","less certain","yes","no","no","yes","no","no","no","no","no","no","<£200",1.18697742,"somewhat","no","£100-£149","£100-£119"
"822","no","no","no","no","no","no","no","yes","no","no","no",46,"45 - 54","keeping up, struggle from time to time","Dont know",NA,NA,NA,NA,NA,NA,"£200-£299","down >£100","£4,500-£6,499","no","no","yes","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","yes","yes","yes","no","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","not applicable","£500,000-£599,999","yes","standard variable rate (SVR)","self employed","widowed/divorced/separated","£10,000-£19,999","£45,000 - £49,999","no","South East","don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","A",22314476,"Owned mortgage","no idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",1.12636346,"not applicable","no","£1,250-£1,499","not applicable"
"823","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",33,"25 - 34","don't know",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£30,000-£39,999","no","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","don't know","don't know","don't know","don't know","don't know","don't know","no","no","no","yes","no","no","no","no",NA,NA,"Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","don't know","don't know","don't know","don't know","don't know","no","no","not applicable","£100,000-£124,999","yes","don't know","in paid employ","marrried or couple","£70,000-£79,999","refused","no","North West","£25-£49","no","no","no","no","no","no","no","no","no","no","no","no","yes","Increase by less than £50 a month","Female","C2",22318031,"Owned mortgage","no idea","don't know","yes","no","no","no","no","no","no","yes","no","no","<£200",0.872811146,"no","no","don't know","£10-£19"
"824","no","no","no","no","no","no","no","no","no","yes","no",62,"55 - 64","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£400-£499","no change","£9,500-£11,499","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","the same","not applicable","not applicable","not applicable","retired","marrried or couple","not applicable","£1,000 - £1,999","no","Wales","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","E",22321317,"Other/Don't know/refused","good idea","less certain","yes","no","no","yes","yes","no","no","no","no","no","£500-£999",1.07576531,"somewhat","no","not applicable","£90-£99"
"825","no","yes","no","no","no","no","no","yes","yes","no","no",38,"35 - 44","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"£300-£399","down >£100","£50,000-£74,999","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,"no","no","yes","yes","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","don't know","£200,000-£224,999","yes","fixed","in paid employ","marrried or couple","£70,000-£79,999","£10,000 - £12,499","no","Scotland","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","B",22324382,"Owned mortgage","vague idea","less certain","yes","no","no","yes","no","no","no","no","no","no","<£200",1.16680053,"no","no","£300-£349","<£10"
"826","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",35,"35 - 44","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"600-£699","no change","£25,000-£29,999","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","no","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","the same","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","£5,000 - £5,999","no","Greater London","£250-£299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","B",22325383,"Private rented","good idea","no change","yes","no","yes","no","no","no","no","no","no","no","£3,000-£3,499",1.35156539,"somewhat","no","not applicable","£100-£119"
"827","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",57,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"<=199","no change","£11,500-£13,499","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable",NA,"yes","not applicable","retired","widowed/divorced/separated","not applicable","£100,000 - £149,999","no","North West","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C2",22326230,"Owned outright","vague idea","no change","yes","no","no","yes","no","no","no","no","no","no","<£200",0.831009613,"no","no","not applicable","<£10"
"828","no","no","no","no","no","no","yes","no","no","no","no",70,"65+","have financial problems, fallen behind with many","£100-149",NA,NA,NA,NA,NA,NA,"£200-£299","down £50-£100","£30,000-£39,999","no","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","no","I would be behind on my mortgage payments by less than 6 months of payments","I would be behind on my loan payments","yes","no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","harder","£300,000-£349,999","yes","standard variable rate (SVR)","retired","marrried or couple","£230,000-£249,999","None","no","West Midlands","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","B",22329626,"Owned mortgage","vague idea","less certain","yes","no","yes","yes","no","no","no","yes","no","no",">=£30,000",1.17537086,"heavy","yes","£800-£849",">=£500"
