"","Variable Name","Description","X__1","Values","Notes"
"1201","us_upl_purp_f",NA,NA,"f)       To help finance day to day spending",NA
"1202","us_upl_purp_g",NA,NA,"g)      Other (please specify)",NA
"1203",NA,"What actions have you taken in response to the possibility that your income may fall sharply over the next year?",NA,NA,"Available in 2016"
"1204","uncertres1",NA,NA,"a)      Cut back on spending",NA
"1205","uncertres2","[INSTRUCTION] Please select no more than three of the following.",NA,"b)      Increased the amount put aside as saving each month",NA
"1206","uncertres3",NA,NA,"c)      Taken up paid employment myself",NA
"1207","uncertres4",NA,NA,"d)      Someone else in the household has taken up paid employment",NA
"1208","uncertres5",NA,NA,"e)      Worked longer hours/ taken a second or better paid job",NA
"1209","uncertres6",NA,NA,"f)       Sought financial help from family/relatives",NA
"1210","uncertres7",NA,NA,"g)      Taken out a bigger loan / arrange for larger overdraft  or credit card limit",NA
"1211","uncertres8",NA,NA,"h)      Avoided getting into any further debt",NA
"1212","uncertres9",NA,NA,"i)       Looked for a new job",NA
"1213","uncertres10",NA,NA,"j)       Other (please specify)",NA
"1214","uncertres11",NA,NA,"k)      Nothing",NA
"1215","uncertres12",NA,NA,"k)      Don't know",NA
"1216","uncertres13",NA,NA,"k)      Prefer not to state",NA
"1217","con_osit","You mentioned earlier that you expect the financial position of your household to [INSERT FROM FQ02 A TO E: get a lot better/…/get a lot worse] over the next 12 months. How confident are you that the financial position of your household will [INSERT FROM FQ02 A TO E: get a lot better/…/get a lot worse] over the next 12 months?",NA,"a)      Not particularly confident – I’m not sure I know what will happen","Available in 2016"
"1218",NA,NA,NA,"b)      Somewhat confident – I think there is a good chance this will happen",NA
"1219",NA,NA,NA,"c)      Very confident – I’m almost certain this will happen",NA
"1220",NA,NA,NA,"d)      Don’t know",NA
"1221",NA,NA,NA,"e)      Prefer not to state",NA
"1222","mrent","How much rent per month does the landlord/council/housing association charge in total for your accommodation? Please exclude any utility bills, service charge and council tax.",NA,NA,"Available from 2016"
"1223","spend","About how much did your household spend, in total, on everything in the last month? Please include all your spending on goods and services[IF TENURE= RENT including rent], but exclude money put into savings or used to repay mortgages, overdrafts, credit cards and other loans.",NA,NA,"Available from 2016"
"1224","con_gsit","How confident are you that the general economic situation in this country will [INSERT FROM MQ08 A TO E: get a lot better/…/get a lot worse] over the next 12 months?",NA,"a)      Not particularly confident – I’m not sure I know what will happen","Available in 2016"
"1225",NA,NA,NA,"b)      Somewhat confident – I think there is a good chance this will happen",NA
"1226",NA,NA,NA,"c)      Very confident – I’m almost certain this will happen",NA
"1227",NA,NA,NA,"d)      Don’t know",NA
"1228",NA,NA,NA,"e)      Prefer not to state",NA
"1229","downchance","In your opinion, is the likelihood of a severe downturn in the economy:",NA,"a)      Much less than normal","Available from 2016"
"1230",NA,NA,NA,"b)      A bit less than normal",NA
"1231",NA,NA,NA,"c)      About the same as normal",NA
"1232",NA,NA,NA,"d)      A bit more than normal",NA
"1233",NA,NA,NA,"e)      A lot more than normal",NA
"1234",NA,NA,NA,"f)       Don’t know",NA
"1235",NA,NA,NA,"g)      Prefer not to state",NA
"1236","industry","What does the firm/organisation you work for in your main job mainly make or do (at the place where you work)?",NA,"1.      Agriculture, forestry and fishing","Available in 2016"
"1237",NA,NA,NA,"2.      Mining and quarrying",NA
"1238",NA,NA,NA,"3.      Energy and water",NA
"1239",NA,NA,NA,"4.      Manufacturing",NA
"1240",NA,NA,NA,"5.      Construction",NA
"1241",NA,NA,NA,"6.      Transport and storage",NA
"1242",NA,NA,NA,"7.      Wholesale, retail, hotels and restaurants",NA
"1243",NA,NA,NA,"8.      Information, communication and IT",NA
"1244",NA,NA,NA,"9.      Banking, finance and insurance",NA
"1245",NA,NA,NA,"10.   Real estate activities",NA
"1246",NA,NA,NA,"11.   Professional, scientific and technical activities",NA
"1247",NA,NA,NA,"12.   Administrative and support service activities",NA
"1248",NA,NA,NA,"13.   Public administration, defence, education and health",NA
"1249",NA,NA,NA,"14.   Arts, entertainment and recreation",NA
"1250",NA,NA,NA,"15.   Other services",NA
"1251",NA,NA,NA,NA,NA
"1252","firmsize","Approximately how many people are employed in this firm/organisation (in total, not just at the place where you work) – are there …",NA,"a)  1 to 10","Available in 2016"
"1253",NA,NA,NA,"b)  11 to 24",NA
"1254",NA,NA,NA,"c)  25 to 49",NA
"1255",NA,NA,NA,"d)  50 to 249",NA
"1256",NA,NA,NA,"e)  250 to 499",NA
"1257",NA,NA,NA,"f)  500 or more",NA
"1258",NA,NA,NA,"g)  Don’t know",NA
"1259",NA,NA,NA,"h)  Prefer not to state",NA
"1260","brexit","Taking everything into account, how do you view the UK voting to leave the EU (European Union) in the recent referendum – which has become known as ‘Brexit’?",NA,"a)      Very positive about the result","Available in 2016"
"1261",NA,NA,NA,"b)      Somewhat positive",NA
"1262",NA,NA,NA,"c)      No opinion",NA
"1263",NA,NA,NA,"d)      Somewhat negative",NA
"1264",NA,NA,NA,"e)      Very negative",NA
"1265","boec1","The Bank of England Base Rate was lowered in August from 0.5% to 0.25%.  Has the interest rate you pay on your mortgage fallen as a result or have you been notified that it will fall shortly?",NA,"a.      Yes, I am now paying a lower rate of interest","Available in 2016"
"1266",NA,NA,NA,"b.      Yes, I have been notified it will fall shortly",NA
"1267",NA,NA,NA,"c.      No, my mortgage interest rate has not changed as a result of the fall in Base Rate",NA
"1268",NA,NA,NA,"d.      Don’t know",NA
"1269",NA,NA,NA,"e.      Prefer not to state",NA
"1270","boec2","Had the reduced interest rate already been applied to the last payment you made, which you mentioned was £[insert amount/range from BE08]?",NA,"a.      Yes","Available in 2016"
"1271",NA,NA,NA,"b.      No - it won’t apply until my next payment",NA
"1272",NA,NA,NA,"c.      Don’t know",NA
"1273",NA,NA,NA,"d.      Prefer not to state",NA
"1274","boec3","In 12 months’ time do you think the interest rate you pay on your mortgage will be higher or lower than [IF A/C/D/E AT BOEC1 it is now] [IF B AT BOEC1 the rate you have been notified you are about to pay]? Please assume everything else about the mortgage will stay the same – i.e. the amount borrowed, the length of the mortgage.",NA,"a.      Higher","Available in 2016"
"1275",NA,NA,NA,"b.      The same",NA
"1276",NA,NA,NA,"c.      Lower",NA
"1277",NA,NA,NA,"d.      Don’t know",NA
"1278",NA,NA,NA,"e.      Prefer not to state",NA
"1279","us_cc_payment","Which of the following best describes how you or members of your household paid the most recent credit card bill?",NA,"a)      Paid off the bill in full","Available from 2016"
"1280",NA,NA,NA,"b)      Made the minimum payment only – but have an interest free offer",NA
"1281",NA,NA,NA,"c)      Made the minimum payment only – paying interest on the remaining balance",NA
"1282",NA,NA,NA,"d)      Did not pay off in full but paid more than the minimum – have an interest free offer",NA
"1283",NA,NA,NA,"e)      Did not pay off in full but paid more than the minimum – paying interest on balance",NA
"1284",NA,NA,NA,"f)       Did not make any payment or made less than minimum payment",NA
"1285",NA,NA,NA,"g)      Don’t know",NA
"1286",NA,NA,NA,"h)      Prefer not to state",NA
"1287",NA,"[Ask all] Do you think the general availability of credit has changed following the UK voting to leave the EU (vote for Brexit)?",NA,NA,"Available in 2016"
"1288",NA,"Please select all that apply.",NA,NA,NA
"1289","boec6_1",NA,NA,"a)      Yes, I think mortgages are now more difficult for people to obtain",NA
"1290","boec6_2",NA,NA,"b)      Yes, I think mortgages are now easier for people to obtain",NA
"1291","boec6_3",NA,NA,"c)       Yes, I think other credit (personal loan, credit card, car finance etc) is now more difficult for people to obtain",NA
"1292","boec6_4",NA,NA,"d)      Yes, I think other credit (personal loan, credit card, car finance etc) is now easier for people to obtain",NA
"1293","boec6_5",NA,NA,"e)      No, I don’t think there has been any change",NA
"1294","boec6_6",NA,NA,"f)       Don’t know",NA
"1295","boec6_7",NA,NA,"g)      Prefer not to state",NA
"1296","boec7","[Ask all] Has the overall amount of money you would like to borrow over the next 12 months been affected by the vote for Brexit?",NA,"a)      A lot more","Available in 2016"
"1297",NA,NA,NA,"b)      A little more",NA
"1298",NA,"Including all types of borrowing (e.g. credit cards, loans, mortgages) and compared to how things would have been if the UK had voted to remain in the EU, would you now like to borrow:",NA,"c)      The referendum result has made no difference",NA
"1299",NA,NA,NA,"d)      A little less",NA
"1300",NA,NA,NA,"e)      A lot less",NA
"1301",NA,NA,NA,"f)       Don’t know",NA
"1302",NA,NA,NA,"g)      Prefer not to state",NA
"1303","boec8a","[Ask if BOEC7=a, b, d or e] Which types of credit would you like to borrow [more/less; insert from BOEC7] of because of the vote for Brexit?",NA,"a)      Mortgage","Available in 2016"
"1304",NA,NA,NA,"b)      Personal loan",NA
"1305",NA,"Please select all that apply.",NA,"c)      Credit card",NA
"1306",NA,NA,NA,"d)      Student loan",NA
"1307",NA,NA,NA,"e)      Car finance arranged at a dealership",NA
"1308",NA,NA,NA,"f)       Overdraft",NA
"1309",NA,NA,NA,"g)      Payday loan",NA
"1310",NA,NA,NA,"h)      Other (please specify)",NA
"1311",NA,NA,NA,"i)       Don’t know",NA
"1312",NA,NA,NA,"j)       Prefer not to state",NA
"1313","brexit_sellhouse","How do you think the vote for Brexit has affected how likely you are to sell your main residential home over the next 12 months (either to buy another property to live in or move to other accommodation)? ",NA,"a)      A lot more likely to sell","Available in 2016"
"1314",NA,NA,NA,"b)      A little more likely to sell",NA
"1315",NA,"Compared to how things would have been if the UK had voted to remain in the EU, are you:",NA,"c)      The referendum result has made no difference",NA
"1316",NA,NA,NA,"d)      A little less likely to sell",NA
"1317",NA,NA,NA,"e)      A lot less likely to sell",NA
"1318",NA,NA,NA,"f)       Don’t know",NA
"1319",NA,NA,NA,"g)      Prefer not to state",NA
"1320","brexit_buyhouse","[Ask all]: How do you think the vote for Brexit has affected how likely you are to buy a new main residential home over the next 12 months (whether moving or buying for the first time)?",NA,"a)      A lot more likely to buy","Available in 2016"
"1321",NA,NA,NA,"b)      A little more likely to buy",NA
"1322",NA,"Compared to how things would have been if the UK had voted to remain in the EU, are you:",NA,"c)      The referendum result has made no difference",NA
"1323",NA,NA,NA,"d)      A little less likely to buy",NA
"1324",NA,NA,NA,"e)      A lot less likely to buy",NA
"1325",NA,NA,NA,"f)       Don’t know",NA
"1326",NA,NA,NA,"g)      Prefer not to state",NA
"1327","savingch_d","Over the next year, are you planning to change the amount of money you save each month? Please exclude any contributions to pension schemes.",NA,"a)      Increase","Available in 2016"
"1328",NA,NA,NA,"b)      Stay the same",NA
"1329",NA,NA,NA,"c)      Decrease",NA
"1330",NA,NA,NA,"d)      Don’t know",NA
"1331",NA,NA,NA,"e)      Prefer not to state",NA
"1332","savingch_in","Over the next year, by how much do you plan to [insert increase/decrease from planned changed] the amount of money you save each month? Please exclude any contributions to pension schemes.",NA,NA,"Available in 2016"
"1333","savingch_de",NA,NA,NA,"savingch_in relates to a savings increase"
"1334",NA,"Please try to be as accurate as possible, entering an amount in pounds without any decimals (you do not need to use all the nine spaces for digits).",NA,NA,"savingch_de relates to a savings decrease"
"1335","hhfinbrex","How do you expect the vote for Brexit to affect the financial position of your household over the next 12 months?",NA,"a)      Get a lot better","Available in 2016"
"1336",NA,NA,NA,"b)      Get a little better",NA
"1337",NA,"Compared to how things would have been if the UK had voted to remain in the EU, will things:",NA,"c)      The referendum result has made no difference",NA
"1338",NA,NA,NA,"d)      Get a little worse",NA
"1339",NA,NA,NA,"e)      Get a lot worse",NA
"1340",NA,NA,NA,"f)       Don’t Know",NA
"1341",NA,NA,NA,"g)      Prefer not to state",NA
"1342","jobloseexp1","To the best of your knowledge, what would you say is the likelihood that you will lose your job during the next 12 months?",NA,"a) Very unlikely, my job is very secure","Available from 2016"
"1343",NA,NA,NA,"b) Unlikely, but there is a chance I will lose my job",NA
"1344",NA,NA,NA,"c) Quite likely, my job is not very secure",NA
"1345",NA,NA,NA,"d) Almost definite, I do not expect my job to last",NA
"1346",NA,NA,NA,"e) Don’t know",NA
"1347",NA,NA,NA,"f) Prefer not to state",NA
"1348","jobloseperc","What do you think is the percent chance that you will lose your job during the next 12 months?",NA,NA,"Available in 2016"
"1349",NA,NA,NA,NA,NA
"1350",NA,"[INSERT SLIDER TO SELECT ANY WHOLE NUMBER BETWEEN 0 AND 100]",NA,NA,NA
"1351","joblosebrex","How do you think the vote for Brexit has affected the likelihood of you losing your job over the next 12 months?",NA,NA,"Available in 2016"
"1352",NA,NA,NA,NA,NA
"1353",NA,"Compared to how things would have been if the UK had voted to remain in the EU, has the likelihood of you losing your job:",NA,NA,NA
"1354","rentincr_m","Using the following ranges, could you state how much your monthly rent payments could increase by without you having to take some kind of action to find the extra money e.g. cut spending, work longer hours, or move house?",NA,"a.      Unable to meet any increases in rent","Available from 2016"
"1355",NA,NA,NA,"b.      £1-49",NA
"1356",NA,NA,NA,"c.      £50-99",NA
"1357",NA,NA,NA,"d.      £100-149",NA
"1358",NA,NA,NA,"e.      £150-199",NA
"1359",NA,NA,NA,"f.       £200-299",NA
"1360",NA,NA,NA,"g.      £300-399",NA
"1361",NA,NA,NA,"h.      £400-499",NA
"1362",NA,NA,NA,"i.       £500-599",NA
"1363",NA,NA,NA,"j.       £600-699",NA
"1364",NA,NA,NA,"k.      £700-799",NA
"1365",NA,NA,NA,"l.       £800-899",NA
"1366",NA,NA,NA,"m.    £900-999",NA
"1367",NA,NA,NA,"n.      £1000-1499",NA
"1368",NA,NA,NA,"o.     >£1500",NA
"1369","brexit_hhspending","How do you expect the vote for Brexit to affect your household’s spending over the next 12 months? Please exclude money put into savings and repayment of bank loans.",NA,"a)      Increase a lot","Available from 2016"
"1370",NA,NA,NA,"b)      Increase a little",NA
"1371",NA,"Compared to how things would have been if the UK had voted to remain in the EU, will your spending:",NA,"c)      The referendum result has made no difference",NA
"1372",NA,NA,NA,"d)      Decrease a little",NA
"1373",NA,NA,NA,"e)      Decrease a lot",NA
"1374",NA,NA,NA,"f)       Don’t know",NA
"1375",NA,NA,NA,"g)      Prefer not to state",NA
"1376","hpspend","We would like to get an understanding of how changes in house prices may impact people’s attitude to spending in general.",NA,"a)      We would spend more","Available in 2013 and 2016"
"1377",NA,"How do you think your household spending would be affected if house prices were to increase by 10% in the next year? Would you say..",NA,"b)      We would spend less",NA
"1378",NA,NA,NA,"c)      Our household spending would not be affected",NA
"1379",NA,NA,NA,"d)      Don’t know",NA
"1380","hpspend_de","How do you think your household spending would be affected if house prices were to decrease by 10% in the next year? Would you say..",NA,"a)      We would spend more","Available in 2016"
"1381",NA,NA,NA,"b)      We would spend less",NA
"1382",NA,NA,NA,"c)      Our household spending would not be affected",NA
"1383",NA,NA,NA,"d)      Don’t know",NA
"1384","brexit_uk_unem","How do you expect the vote for Brexit to affect the number of people unemployed in this country over the next 12 months?",NA,"a)      Increase sharply","Available in 2016"
"1385",NA,NA,NA,"b)      Increase slightly",NA
"1386",NA,"Compared to how things would have been if the UK had voted to remain in the EU, will the number of unemployed people:",NA,"c)      The referendum result has made no difference",NA
"1387",NA,NA,NA,"d)      Fall slightly",NA
"1388",NA,NA,NA,"e)      Fall sharply",NA
"1389",NA,NA,NA,"f)       Don’t Know",NA
"1390","brexit_uk_econ","How do you expect the vote for Brexit to affect the general economic situation of this country over the next 12 months?",NA,"a)      Get a lot better","Available from 2016"
"1391",NA,NA,NA,"b)      Get a little better",NA
"1392",NA,"Compared to how things would have been if the UK had voted to remain in the EU, will things:",NA,"c)      The referendum result has made no difference",NA
"1393",NA,NA,NA,"d)      Get a little worse",NA
"1394",NA,NA,NA,"e)      Get a lot worse",NA
"1395",NA,NA,NA,"f)       Don’t Know",NA
"1396",NA,NA,NA,"g)      Prefer not to state",NA
"1397","btl_brexit","How do you think that the vote for Brexit has affected how likely you are to sell at least one of your buy-to-let properties over the next 12 months?",NA,"a)      A lot more likely to sell","Available in 2016"
"1398",NA,NA,NA,"b)      A little more likely to sell",NA
"1399",NA,"Compared to how things would have been if the UK had voted to remain in the EU, are you:",NA,"c)      The referendum result has made no difference",NA
"1400",NA,NA,NA,"d)      A little less likely to sell",NA
"1401",NA,NA,NA,"e)      A lot less likely to sell",NA
"1402",NA,NA,NA,"f)      Don’t know",NA
"1403",NA,NA,NA,"g)      Prefer not to state",NA
"1404","btl_m1","Do you have a mortgage on any of your buy-to-let properties?",NA,"a)      No - I don’t have a mortgage on any of my buy-to-let properties","Available in 2016"
"1405",NA,NA,NA,"b)      Yes - I have capital and interest repayment buy-to-let mortgages",NA
"1406",NA,NA,NA,"c)      Yes - I have interest only buy-to-let mortgages",NA
"1407",NA,NA,NA,"d)      Yes - I have a mixture of interest only and capital and interest repayment buy-to-let mortgages",NA
"1408",NA,NA,NA,"e)      Don’t know",NA
"1409",NA,NA,NA,"f)       Prefer not to state",NA
"1410","btl_rentincr","Thinking about all your buy-to-let properties, how much capacity do you have to increase rents without risking your properties becoming unoccupied?",NA,"a)      There isn’t much capacity to increase rents","Available in 2016"
"1411",NA,NA,NA,"b)      Increase of up to 2.4%",NA
"1412",NA,"When answering this question, it may be useful to think about how the rent currently paid by your tenants compares to the rent achievable if you were to market your properties today.",NA,"c)      Increase of 2.5% to 4.9%",NA
"1413",NA,NA,NA,"d)      Increase of 5.0% to 7.4%",NA
"1414",NA,NA,NA,"e)      Increase of 7.5% to 9.9%",NA
"1415",NA,NA,NA,"f)       Increase of 10% to 14.9%",NA
"1416",NA,NA,NA,"g)      Increase of 15% to 19.9%",NA
"1417",NA,NA,NA,"h)      Increase of 20% to 24.9%",NA
"1418",NA,NA,NA,"i)       Increase of 25% or more",NA
"1419",NA,NA,NA,"j)       Don’t know",NA
"1420",NA,NA,NA,"k)      Prefer not to state",NA
"1421",NA,"If you were to find yourself in financial difficulty and you had no choice but to stop paying some bills/debts in order to make ends meet, in which order would you stop paying the following commitments?",NA,NA,"Available from 2017"
"1422","condebt_stop_1","Please place these in order, where 1 is the item you would stop paying first.",NA,"Mortgage",NA
"1423","condebt_stop_2",NA,NA,"Rent",NA
"1424","condebt_stop_3",NA,NA,"Utility bills (gas, electricity, water)",NA
"1425","condebt_stop_4",NA,NA,"Mobile/telephone contract",NA
"1426","condebt_stop_5",NA,NA,"Credit card",NA
"1427","condebt_stop_6",NA,NA,"Personal loan",NA
"1428","condebt_stop_7",NA,NA,"Car finance arranged at a dealer",NA
"1429","condebt_stop_8",NA,NA,"Overdraft",NA
"1430","spq07a_m","Approximately how much more rent, if any, could you pay a month (above what you already pay) for a sustained period without you having to take some kind of action to find the extra money e.g. cut spending, work longer hours, or move house?",NA,"£ []","Available from 2017"
"1431",NA,"If your monthly rent payments were to increase for a sustained period by £k from tomorrow, how do you think you would respond?  Please assume your income would not be any higher unless you take action to increase it.",NA,NA,"Available from 2017"
"1432","hr_r_resp1",NA,NA,"Cut back on spending",NA
"1433","hr_r_resp2",NA,NA,"Use savings/ put less aside as saving each month",NA
"1434","hr_r_resp3",NA,NA,"Take up paid employment myself",NA
"1435","hr_r_resp4",NA,NA,"Someone else in my household would take up paid employment",NA
"1436","hr_r_resp5",NA,NA,"Work longer hours / take a second or better paid job",NA
"1437","hr_r_resp6",NA,NA,"Get financial help from family / relatives",NA
"1438","hr_r_resp8",NA,NA,"Move to a property with lower rent",NA
"1439","hr_r_resp10",NA,NA,"Other (please specify)",NA
"1440","hr_r_resp11",NA,NA,"Don’t know",NA
"1441","hr_r_resp12",NA,NA,"Prefer not to state",NA
"1442","hr_r_resp13",NA,NA,"Pay less than the required amount on one or more obligations (eg rent, utility bills, debt repayment)",NA
"1443","spq08ab_m","How much would you reduce your monthly spending by if your monthly rent payments were to increase for a sustained period by £k from tomorrow?  [£k is calculated automatically from software as the rent payment under a 15% monthly increase]",NA,"£ []","Available from 2017"
"1444","spq10","Now imagine that there is a very sharp increase in rents in your area.  Imagine also that the increase in rent you face is so large that you have no choice but to move to a cheaper home (for example, finding a smaller home, moving to a cheaper area, or moving in with relatives). In your opinion, how difficult would it be to find a solution that satisfies your household’s needs within 12 months?",NA,NA,"Available from 2017"
"1445",NA,NA,NA,"a)      Not a problem",NA
"1446",NA,NA,NA,"b)      Quite difficult",NA
"1447",NA,NA,NA,"c)       Extremely difficult",NA
"1448",NA,NA,NA,"d)      Virtually impossible",NA
"1449",NA,NA,NA,"e)      Don’t know",NA
"1450",NA,NA,NA,"f)       Prefer not to state",NA
"1451","us_carfin_alt","If you hadn’t been able to obtain a finance arrangement with the car dealer, which of the following would have been most likely?",NA,NA,"Available from 2017"
"1452",NA,NA,NA,"I probably would not have purchased a vehicle at all",NA
"1453",NA,NA,NA,"I probably would have purchased a vehicle – but a cheaper one",NA
"1454",NA,NA,NA,"I probably would have purchased the same vehicle – but using finance/a loan from elsewhere",NA
"1455",NA,NA,NA,"I probably would have purchased the same vehicle – but using savings",NA
"1456",NA,NA,NA,"Other (please specify)",NA
"1457",NA,NA,NA,"Don’t know",NA
"1458",NA,NA,NA,"Prefer not to say",NA
"1459","chmort","Using the following ranges, could you state when you last took out a mortgage or secured loan on your main home, or made a change to the amount borrowed on remortgaged or took out an additional loan and refer to the most recent time only.",NA,NA,NA
"1460",NA,"an existing mortgage or secured loan on this property? Please include whenever you moved house,",NA,NA,"Available from 2017"
"1461",NA,NA,NA,"a)      1979 or earlier",NA
"1462",NA,NA,NA,"b)      1980-89",NA
"1463",NA,NA,NA,"c)       1990-94",NA
"1464",NA,NA,NA,"d)      1995-99",NA
"1465",NA,NA,NA,"e)      2000-03",NA
"1466",NA,NA,NA,"f)       2004-07",NA
"1467",NA,NA,NA,"g)      2008-11",NA
"1468",NA,NA,NA,"h)      2012-14",NA
"1469",NA,NA,NA,"i)        2015-16",NA
"1470",NA,NA,NA,"j)        2017",NA
"1471",NA,NA,NA,"k)      Don’t know",NA
"1472",NA,NA,NA,"l)        Prefer not to state",NA
"1473","chmort_c","When last took out/changed mortgage - continuous measure",NA,NA,"Available from 2017"
"1474","bought_n","Using the following ranges, could you state when you bought your home?",NA,NA,NA
"1475",NA,NA,NA,NA,"Available from 2017"
"1476",NA,NA,NA,"a)      1979 or earlier",NA
"1477",NA,NA,NA,"b)      1980-89",NA
"1478",NA,NA,NA,"c)       1990-94",NA
"1479",NA,NA,NA,"d)      1995-99",NA
"1480",NA,NA,NA,"e)      2000-03",NA
"1481",NA,NA,NA,"f)       2004-07",NA
"1482",NA,NA,NA,"g)      2008-11",NA
"1483",NA,NA,NA,"h)      2012-14",NA
"1484",NA,NA,NA,"i)        2015 -16",NA
"1485",NA,NA,NA,"j)        2017",NA
"1486",NA,NA,NA,"k)      Don’t know",NA
"1487",NA,NA,NA,"l)        Prefer not to state",NA
"1488","bought_c","When bought last home - continuous measure",NA,NA,"Available from 2017"
"1489","considmovmain","Have you considered moving to another property since the beginning of 2017? Please select all answers that apply.",NA,NA,NA
"1490",NA,NA,NA,"a)      No – I’m happy where I am","Available in 2015 and 2017"
"1491",NA,NA,NA,"b)      Yes – I’m in the process of moving",NA
"1492",NA,NA,NA,"c)       Yes – but the costs of moving (stamp duty, estate agent and solicitor fees) are too high",NA
"1493",NA,NA,NA,"d)      Yes – but my current mortgage deal is too good to change",NA
"1494",NA,NA,NA,"e)      Yes – but I would not be able to increase my mortgage sufficiently to make it worthwhile to move",NA
"1495",NA,NA,NA,"f)       Yes – but I haven’t been able to find a suitable property",NA
"1496",NA,NA,NA,"g)      Yes – but my house is worth less than when I bought it",NA
"1497",NA,NA,NA,"h)      Yes – but I can’t find anyone to buy my house",NA
"1498",NA,NA,NA,"i)        Other (please specify)",NA
"1499",NA,NA,NA,"j)        Don’t know",NA
"1500",NA,NA,NA,"k)      Prefer not to state",NA
"1501",NA,NA,NA,NA,NA
"1502",NA,NA,NA,"i), k) and respondents choosing multiple options (very small number) set equal to missing",NA
"1503",NA,NA,NA,NA,NA
"1504","Easeofmoving","Now imagine that there is a very sharp increase in mortgage rates.",NA,NA,NA
"1505",NA,"Imagine also that the increase in mortgage payments you face is so large that you have no choice but to move to a cheaper home (for example, finding a smaller home, moving to a cheaper area, or moving in with relatives). to find a solution that satisfies your household’s needs within 12 months?",NA,"a)      Not a problem","Available from 2017"
"1506",NA,"In your opinion, how difficult would it be to find a solution that satisfies your household’s needs within 12 months?",NA,"b)      Quite difficult",NA
"1507",NA,NA,NA,"c)       Extremely difficult",NA
"1508",NA,NA,NA,"d)      Virtually impossible",NA
"1509",NA,NA,NA,"e)      Don’t know",NA
"1510",NA,NA,NA,"f)       Prefer not to state",NA
"1511",NA,NA,NA,NA,NA
"1512","Lastmovedhouse","How long have you lived in your current property?",NA,NA,NA
"1513",NA,NA,NA,"How long have you lived in your current property?","Available from 2017"
"1514",NA,NA,NA,"a)      Less than 12 months",NA
"1515",NA,NA,NA,"b)      1 – 2 years",NA
"1516",NA,NA,NA,"c)       3 – 5 years",NA
"1517",NA,NA,NA,"d)      6 – 10 years",NA
"1518",NA,NA,NA,"e)      More than 10 years",NA
"1519",NA,NA,NA,"f)       Don’t know",NA
"1520",NA,NA,NA,"g)      Prefer not to state",NA
"1521","Foundoutmortgage","Which of the following explanations best describes how you found out you could not obtain a mortgage?",NA,NA,NA
"1522",NA,NA,NA,"a)      Media reports addressing difficulty of obtaining a mortgage",NA
"1523",NA,NA,NA,"b)      Family, friends or social media","Available from 2017"
"1524",NA,NA,NA,"c)       Online mortgage calculator",NA
"1525",NA,NA,NA,"d)      Discussion with mortgage advisor",NA
"1526",NA,NA,NA,"e)      Failed mortgage application",NA
"1527",NA,NA,NA,"f)       Other (please specify)",NA
"1528",NA,NA,NA,"g)      Don’t know",NA
"1529",NA,NA,NA,"h)      Prefer not to state",NA
